Radial distance (atomic units), Theoretical Hartree potential, Calculated Hartree potential
3.900000000000000133e-01,9.302965238095879386e-01,9.304117051671042526e-01
4.000000000000000222e-01,9.273486255897245290e-01,9.274635043930692380e-01
4.100000000000000311e-01,9.243691881622952966e-01,9.244837704025024028e-01
4.199999999999999845e-01,9.213596588826351574e-01,9.214739504321080021e-01
4.299999999999999933e-01,9.183214471758587294e-01,9.184354537907175597e-01
4.400000000000000022e-01,9.152559254057337501e-01,9.153696527281207640e-01
4.500000000000000111e-01,9.121644297247362143e-01,9.122778832850707564e-01
4.600000000000000200e-01,9.090482609056724783e-01,9.091614461248633816e-01
4.700000000000000289e-01,9.059086851552637931e-01,9.060216073468784215e-01
4.799999999999999822e-01,9.027469349100711860e-01,9.028595992824610672e-01
4.899999999999999911e-01,8.995642096151319489e-01,8.996766212735152202e-01
5.000000000000000000e-01,8.963616764856729979e-01,8.964738404341774380e-01
5.100000000000000089e-01,8.931404712522581502e-01,8.932523923959230228e-01
5.200000000000000178e-01,8.899016988897194835e-01,8.900133820364564130e-01
5.300000000000000266e-01,8.866464343302116191e-01,8.867578841927291622e-01
5.400000000000000355e-01,8.833757231607290983e-01,8.834869443584177917e-01
5.500000000000000444e-01,8.800905823054120392e-01,8.802015793661918108e-01
5.600000000000000533e-01,8.767920006929613708e-01,8.769027780550925355e-01
5.700000000000000622e-01,8.734809399094787263e-01,8.735915019233380097e-01
5.799999999999999600e-01,8.701583348370406368e-01,8.702686857668611164e-01
5.899999999999999689e-01,8.668250942783074509e-01,8.669352383038837484e-01
5.999999999999999778e-01,8.634821015674609690e-01,8.635920427858223558e-01
6.099999999999999867e-01,8.601302151677657770e-01,8.602399575948141974e-01
6.199999999999999956e-01,8.567702692560290600e-01,8.568798168281456240e-01
6.300000000000000044e-01,8.534030742942448899e-01,8.535124308698650575e-01
6.400000000000000133e-01,8.500294175886899950e-01,8.501385869498462311e-01
6.500000000000000222e-01,8.466500638367371323e-01,8.467590496905730291e-01
6.600000000000000311e-01,8.432657556616491856e-01,8.433745616419003888e-01
6.700000000000000400e-01,8.398772141356052323e-01,8.399858438040550546e-01
6.800000000000000488e-01,8.364851392912147077e-01,8.365935961391178788e-01
6.900000000000000577e-01,8.330902106217557002e-01,8.331984980712346944e-01
7.000000000000000666e-01,8.296930875703841801e-01,8.298012089757990095e-01
7.099999999999999645e-01,8.262944100085461985e-01,8.264023686578353400e-01
7.199999999999999734e-01,8.228947987038202072e-01,8.230025978198167724e-01
7.299999999999999822e-01,8.194948557774207609e-01,8.196024985191406875e-01
7.399999999999999911e-01,8.160951651515754302e-01,8.162026546154811379e-01
7.500000000000000000e-01,8.126962929869970820e-01,8.128036322082371479e-01
7.600000000000000089e-01,8.092987881106606940e-01,8.094059800642831037e-01
7.700000000000000178e-01,8.059031824340896488e-01,8.060102300362322891e-01
7.800000000000000266e-01,8.025099913623573444e-01,8.026168974714142923e-01
7.900000000000000355e-01,7.991197141939982984e-01,7.992264816117629067e-01
8.000000000000000444e-01,7.957328345120253665e-01,7.958394659848120334e-01
8.100000000000000533e-01,7.923498205662437011e-01,7.924563187859855473e-01
8.200000000000000622e-01,7.889711256470448575e-01,7.890774932523705321e-01
8.300000000000000711e-01,7.855971884508643477e-01,7.857034280281541827e-01
8.399999999999999689e-01,7.822284334374829395e-01,7.823345475219030121e-01
8.499999999999999778e-01,7.788652711793422334e-01,7.789712622558585542e-01
8.599999999999999867e-01,7.755080987030495976e-01,7.756139692074223158e-01
8.699999999999999956e-01,7.721572998232365537e-01,7.722630521429942885e-01
