Radial Distance r (a.u.),Computed Wavefunction
0.005,1.3274967334492302
0.01,1.3143082233604875
0.015,1.301264117453269
0.02,1.288362831398284
0.025,1.2756027921644333
0.03,1.2629824382726924
0.035,1.2505002200303772
0.04,1.2381545997464887
0.045,1.2259440519292462
0.05,1.2138670634663125
0.055,1.2019221337888013
0.06,1.1901077750195688
0.065,1.1784225121066632
0.07,1.1668648829425954
0.075,1.1554334384700362
0.08,1.1441267427746962
0.085,1.1329433731658618
0.09,1.121881920245335
0.095,1.1109409879652155
0.1,1.1001191936751726
0.105,1.0894151681596065
0.11,1.078827555665372
0.115,1.0683550139203588
0.12,1.0579962141435713
0.125,1.047749841047002
0.13,1.0376145928298215
0.135,1.0275891811652063
0.14,1.0176723311803733
0.145,1.0078627814299077
0.15,0.9981592838630274
0.155,0.9885606037849601
0.16,0.9790655198128299
0.165,0.9696728238263083
0.17,0.9603813209134547
0.17500000000000002,0.9511898293118547
0.18,0.9420971803455255
0.185,0.933102218357688
0.19,0.924203800639812
0.195,0.9154007973569801
0.2,0.9066920914700793
0.20500000000000002,0.8980765786547137
0.21,0.8895531672173658
0.215,0.8811207780087544
0.22,0.8727783443347679
0.225,0.8645248118650143
0.23,0.85635913853929
0.23500000000000001,0.8482802944720392
0.24,0.8402872618550015
0.245,0.8323790348582502
0.25,0.8245546195296103
0.255,0.8168130336928462
0.26,0.8091533068444978
0.265,0.8015744800496362
0.27,0.7940756058366416
0.275,0.786655748091094
0.28,0.7793139819488719
0.28500000000000003,0.7720493936886369
0.29,0.764861080623684
0.295,0.7577481509933685
0.3,0.7507097238541328
0.305,0.7437449289702286
0.31,0.7368529067042158
0.315,0.7300328079073336
0.32,0.7232837938098005
0.325,0.7166050359110703
0.33,0.7099957158702143
0.335,0.7034550253963692
0.34,0.6969821661393911
0.34500000000000003,0.6905763495807583
0.35000000000000003,0.6842367969247245
0.355,0.6779627389898362
0.36,0.6717534161008162
0.365,0.665608077980888
0.37,0.6595259836445363
0.375,0.6535064012908173
0.38,0.6475486081971399
0.385,0.6416518906137009
0.39,0.6358155436584454
0.395,0.6300388712127362
0.4,0.6243211858176035
0.405,0.6186618085707625
0.41000000000000003,0.613060069024275
0.41500000000000004,0.607515305082982
0.42,0.6020268629036799
0.425,0.5965940967950563
0.43,0.5912163691184448
0.435,0.5858930501893395
0.44,0.5806235181797761
0.445,0.5754071590215091
0.45,0.5702433663100792
0.455,0.5651315412096675
0.46,0.5600710923588952
0.465,0.5550614357774426
0.47000000000000003,0.5501019947735662
0.47500000000000003,0.545192199852529
0.48,0.5403314886258855
0.485,0.5355193057216993
0.49,0.5307551026956536
0.495,0.5260383379430785
0.5,0.5213684766118794
0.505,0.5167449905163787
0.51,0.5121673580520866
0.515,0.5076350641113883
0.52,0.5031476000001054
0.525,0.49870446335504587
0.53,0.4943051580624092
0.535,0.4899491941771146
0.54,0.4856360878430777
0.545,0.48136536121434276
0.55,0.47713654237716363
0.555,0.47294916527296693
0.56,0.4688027696222268
0.5650000000000001,0.4646969008492241
0.5700000000000001,0.4606311100076946
0.5750000000000001,0.45660495370738235
0.58,0.4526179940414669
0.585,0.4486697985148489
0.59,0.44475993997334856
0.595,0.44088799653371674
0.6,0.4370535515145597
0.605,0.4332561933680796
0.61,0.4294955156126835
0.615,0.4257711167664121
0.62,0.42208260028125305
0.625,0.41842957447820933
0.63,0.4148116524832535
0.635,0.4112284521640636
0.64,0.40767959606756843
0.645,0.40416471135831067
0.65,0.40068342975758253
0.655,0.3972353874833585
0.66,0.39382022519100435
0.665,0.3904375879147513
0.67,0.38708712500994497
0.675,0.3837684900960358
0.68,0.38048134100032416
0.685,0.3772253397024539
0.6900000000000001,0.37400015227961375
0.6950000000000001,0.37080544885249395
