Radial distance r (atomic units),Calculated helium wavefunction (probability amplitude)
0.0,0.9791709460348875
0.005005005005005005,0.9789162095822653
0.01001001001001001,0.9781531845809881
0.015015015015015015,0.9768854131220692
0.02002002002002002,0.9751187622408105
0.025025025025025023,0.9728613697511694
0.03003003003003003,0.9701235694227892
0.035035035035035036,0.9669177964888499
0.04004004004004004,0.9632584747260582
0.04504504504504504,0.9591618865802255
0.050050050050050046,0.9546460280182069
0.055055055055055056,0.9497304499662482
0.06006006006006006,0.9444360883433209
0.06506506506506507,0.9387850848137507
0.07007007007007007,0.9328006004649753
0.07507507507507508,0.9265066246628284
0.08008008008008008,0.9199277813483233
0.08508508508508508,0.9130891350170574
0.09009009009009009,0.9060159985663456
0.09509509509509509,0.8987337451078292
0.10010010010010009,0.8912676257269645
0.10510510510510511,0.8836425950283189
0.11011011011011011,0.8758831461402516
0.11511511511511512,0.8680131566678596
0.12012012012012012,0.8600557468828898
0.12512512512512514,0.8520331512275621
0.13013013013013014,0.8439666039899706
0.13513513513513514,0.8358762397859155
0.14014014014014015,0.8277810092595711
0.14514514514514515,0.8196986101970319
0.15015015015015015,0.811645434035975
0.15515515515515516,0.8036365275545958
0.16016016016016016,0.7956855693364357
0.16516516516516516,0.7878048604371215
0.17017017017017017,0.7800053285263899
0.17517517517517517,0.7722965446456133
0.18018018018018017,0.7646867516084614
0.18518518518518517,0.7571829029810179
0.19019019019019018,0.7497907115077921
0.19519519519519518,0.7425147058014905
0.20020020020020018,0.7353582940865098
0.20520520520520522,0.7283238337780243
0.21021021021021022,0.7214127056890078
0.21521521521521522,0.7146253916850902
0.22022022022022023,0.7079615546501273
0.22522522522522523,0.7014201196818856
0.23023023023023023,0.6949993555053843
0.23523523523523523,0.6886969551691485
0.24024024024024024,0.6825101151748789
0.24524524524524524,0.6764356122818281
0.2502502502502503,0.6704698773215226
0.2552552552552553,0.664609065454543
0.2602602602602603,0.6588491223971329
0.2652652652652653,0.6531858462398805
0.2702702702702703,0.647614944572192
0.2752752752752753,0.6421320867135202
0.2802802802802803,0.6367329509342975
0.2852852852852853,0.6314132666253954
0.2902902902902903,0.6261688514440445
0.2952952952952953,0.6209956435260269
0.3003003003003003,0.6158897289083198
0.3053053053053053,0.6108473643530787
0.3103103103103103,0.6058649958029497
0.3153153153153153,0.6009392727293406
0.3203203203203203,0.5960670586597416
0.3253253253253253,0.5912454381878522
0.3303303303303303,0.5864717207815867
0.3353353353353353,0.5817434417095453
0.34034034034034033,0.577058360406787
0.34534534534534533,0.5724144565963523
0.35035035035035034,0.5678099244745477
0.35535535535535534,0.5632431652561535
0.36036036036036034,0.5587127783610282
0.36536536536536535,0.5542175515066622
0.37037037037037035,0.5497564499526046
0.37537537537537535,0.5453286051228804
0.38038038038038036,0.5409333028119816
0.38538538538538536,0.5365699711591867
0.39039039039039036,0.5322381685552074
0.39539539539539537,0.5279375716247942
0.40040040040040037,0.5236679634092382
0.40540540540540543,0.5194292218538995
0.41041041041041043,0.5152213086881475
0.41541541541541543,0.5110442587685681
0.42042042042042044,0.5068981699410399
0.42542542542542544,0.5027831934634072
0.43043043043043044,0.49869952501795917
0.43543543543543545,0.49464739633180194
0.44044044044044045,0.49062706741343454
0.44544544544544545,0.48663881940537235
0.45045045045045046,0.48268294804543455
0.45545545545545546,0.47875975772326534
0.46046046046046046,0.47486955611368825
0.46546546546546547,0.4710126493645295
0.47047047047047047,0.46718933781347916
0.4754754754754755,0.46339991220630933
0.4804804804804805,0.45964465038722846
0.4854854854854855,0.4559238144312413
0.4904904904904905,0.4522376481880145
0.4954954954954955,0.4485863752068271
0.5005005005005005,0.44497019701265494
0.5055055055055055,0.4413892917042097
0.5105105105105106,0.4378438128457754
0.5155155155155156,0.434333888625895
0.5205205205205206,0.43085962125730837
0.5255255255255256,0.4274210865939849
0.5305305305305306,0.4240183339425933
0.5355355355355356,0.42065138604727564
0.5405405405405406,0.4173202392281108
0.5455455455455456,0.41402486365514773
0.5505505505505506,0.41076520374134473
0.5555555555555556,0.40754117863914174
0.5605605605605606,0.40435268282673115
0.5655655655655656,0.4011995867713416
0.5705705705705706,0.3980817376580349
0.5755755755755756,0.3949989601736131
0.5805805805805806,0.3919510573362515
0.5855855855855856,0.38893781136241445
0.5905905905905906,0.38595898456347194
0.5955955955955956,0.38301432026522214
0.6006006006006006,0.3801035437442455
0.6056056056056056,0.37722636317566205
0.6106106106106106,0.3743824705874572
0.6156156156156156,0.3715715428170699
0.6206206206206206,0.36879324246641704
0.6256256256256256,0.366047218851959
0.6306306306306306,0.3633331089467961
0.6356356356356356,0.36065053831213584
0.6406406406406406,0.3579991220157787
0.6456456456456456,0.35537846553555363
0.6506506506506506,0.35278816564588295
0.6556556556556556,0.3502278112858817
0.6606606606606606,0.347696984407601
0.6656656656656657,0.345195260803208
0.6706706706706707,0.34272221091005844
0.6756756756756757,0.3402774005927698
0.6806806806806807,0.3378603919015371
0.6856856856856857,0.3354707438060593
0.6906906906906907,0.3331080129045545
0.6956956956956957,0.3307717541074477
0.7007007007007007,0.3284615212954092
0.7057057057057057,0.3261768679515073
0.7107107107107107,0.3239173477673233
0.7157157157157157,0.321682515222946
0.7207207207207207,0.31947192614083675
0.7257257257257257,0.31728513821361704
0.7307307307307307,0.3151217115058898
0.7357357357357357,0.3129812089302621
0.7407407407407407,0.3108631966977877
0.7457457457457457,0.30876724474309303
0.7507507507507507,0.3066929271244974
0.7557557557557557,0.304639822399477
0.7607607607607607,0.3026075139758585
0.7657657657657657,0.3005955904391678
