Radial Distance r (a.u.),Computed Wavefunction
0.005,1.2799602975956088
0.01,1.2672352684849664
0.015,1.2546441964940664
0.02,1.242185951630575
0.025,1.2298593967932925
0.03,1.2176633887024673
0.035,1.2055967787876638
0.04,1.1936584140347906
0.045,1.1818471377938333
0.05,1.1701617905485686
0.055,1.1586012106499497
0.06,1.1471642350141922
0.065,1.135849699787138
0.07,1.1246564409760686
0.075,1.113583295050214
0.08,1.102629099511089
0.085,1.0917926934339977
0.09,1.0810729179815894
0.095,1.0704686168907271
0.1,1.0599786369336357
0.105,1.0496018283543582
0.11,1.0393370452814799
0.115,1.0291831461181036
0.12,1.019138993909944
0.125,1.0092034566924393
0.13,0.9993754078177579
0.135,0.9896537262624473
0.14,0.9800372969165893
0.145,0.9705250108552017
0.15,0.9611157655926198
0.155,0.9518084653205164
0.16,0.9426020211303898
0.165,0.9334953512209675
0.17,0.9244873810914014
0.17500000000000002,0.915577043720638
0.18,0.9067632797337217
0.185,0.8980450375555389
0.19,0.8894212735525272
0.195,0.880890952162891
0.2,0.8724530460158987
0.20500000000000002,0.8641065360406376
0.21,0.8558504115647594
0.215,0.8476836704037197
0.22,0.8396053189407866
0.225,0.8316143721984386
0.23,0.8237098539014102
0.23500000000000001,0.8158907965318087
0.24,0.8081562413767371
0.245,0.8005052385686635
0.25,0.7929368471189981
0.255,0.7854501349451141
0.26,0.7780441788912237
0.265,0.7707180647433148
0.27,0.7634708872385257
0.275,0.7563017500691782
0.28,0.7492097658817937
0.28500000000000003,0.7421940562712868
0.29,0.7352537517706472
0.295,0.7283879918363304
0.3,0.7215959248295318
0.305,0.7148767079936891
0.31,0.7082295074282621
0.315,0.7016534980591277
0.32,0.6951478636057079
0.325,0.6887117965450663
0.33,0.6823444980730937
0.335,0.6760451780629957
0.34,0.6698130550212302
0.34500000000000003,0.6636473560410869
0.35000000000000003,0.6575473167539606
0.355,0.651512181278581
0.36,0.6455412021682806
0.365,0.6396336403563939
0.37,0.633788765099993
0.375,0.6280058539220145
0.38,0.6222841925519285
0.385,0.6166230748650449
0.39,0.6110218028205663
0.395,0.6054796863984812
0.4,0.5999960435353913
0.405,0.5945702000593962
0.41000000000000003,0.5892014896240602
0.41500000000000004,0.5838892536416176
0.42,0.5786328412154196
0.425,0.5734316090717739
0.43,0.5682849214911813
0.435,0.5631921502390927
0.44,0.5581526744962135
0.445,0.5531658807884364
0.45,0.5482311629164507
0.455,0.5433479218851013
0.46,0.5385155658325312
0.465,0.5337335099591746
0.47000000000000003,0.5290011764566238
0.47500000000000003,0.5243179944364619
0.48,0.5196833998590449
0.485,0.5150968354623254
0.49,0.5105577506907384
0.495,0.5060656016241647
0.5,0.5016198509070355
0.505,0.4972199676776287
0.51,0.4928654274975097
0.515,0.48855571228125344
0.52,0.4842903102263663
0.525,0.48006871574354615
0.53,0.47589042938718173
0.535,0.47175495778624943
0.54,0.4676618135754963
0.545,0.4636105153270319
0.55,0.459600587482301
0.555,0.4556315602844542
0.56,0.4517029697111602
0.5650000000000001,0.44781435740782766
0.5700000000000001,0.44396527062131835
0.5750000000000001,0.44015526213409917
0.58,0.43638389019888113
0.585,0.4326507184737625
0.59,0.42895531595785424
0.595,0.42529725692743603
0.6,0.4216761208726209
0.605,0.41809149243455984
0.61,0.4145429613431734
0.615,0.41103012235542097
0.62,0.40755257519415544
0.625,0.40410992448748356
0.63,0.40070177970872645
0.635,0.3973277551169256
0.64,0.39398746969791604
0.645,0.39068054710598743
0.65,0.38740661560609874
0.655,0.38416530801668397
0.66,0.3809562616530348
0.665,0.37777911827125266
0.67,0.3746335240127927
0.675,0.37151912934959036
0.68,0.3684355890297531
0.685,0.3653825620238533
0.6900000000000001,0.3623597114717875
0.6950000000000001,0.3593667046302331
0.7000000000000001,0.35640321282065635
0.705,0.3534689113779212
0.71,0.35056347959947254
0.715,0.3476866006950787
0.72,0.34483796173715997
0.725,0.34201566695219243
0.73,0.3392194429565487
0.735,0.3364490193642214
0.74,0.33370412875900807
0.745,0.3309845066665833
0.75,0.3282898915264972
0.755,0.32562002466412304
0.76,0.3229746502625576
0.765,0.3203535153345211
0.77,0.3177563696942505
0.775,0.3151829659294036
0.78,0.3126330593730249
0.785,0.31010640807553275
0.79,0.30760277277678977
0.795,0.30512191687824974
0.8,0.3026636064151848
0.805,0.30022761002902826
0.81,0.2978136989398203
0.8150000000000001,0.2954216469187717
0.8200000000000001,0.2930512302609783
0.8250000000000001,0.29070222775826055
0.8300000000000001,0.2883744206721501
0.835,0.2860675927070502
0.84,0.2837815299835337
0.845,0.2815160210118375
0.85,0.2792708566655101
0.855,0.277045830155254
0.86,0.27484073700295203
0.865,0.2726553750158771
0.87,0.2704895442611055
0.875,0.268343047040127
0.88,0.266215687863654
0.885,0.2641072734266368
0.89,0.26201761258349227
0.895,0.2599465163235402
0.9,0.2578937977466499
0.905,0.2558592720391094
0.91,0.25384275644970383
0.915,0.25184407026601957
0.92,0.24986303479096234
0.925,0.24789947331950088
0.93,0.24595321111563553
0.935,0.24402407538957394
0.9400000000000001,0.24211189527515395
0.9450000000000001,0.2402165018074747
0.9500000000000001,0.23833772790074617
0.9550000000000001,0.2364754083263863
0.96,0.23462937969131586
0.965,0.2327994804164939
0.97,0.23098555071567237
0.975,0.22918743257437113
0.98,0.22740496972907934
0.985,0.22563800764667527
0.99,0.22388639350407225
0.995,0.22214997616807955
1.0,0.2204286061754901
1.0050000000000001,0.21872213571337534
1.01,0.21703041859961092
1.0150000000000001,0.21535331026360724
1.02,0.21369066772726597
1.025,0.2120423495861402
1.03,0.21040821599081344
1.035,0.2087881286284889
1.04,0.20718195070478806
1.045,0.2055895469257576
1.05,0.2040107834800851
1.055,0.20244552802151788
1.06,0.20089364965148465
1.065,0.1993550189019263
1.07,0.19782950771831412
1.075,0.19631698944288706
1.08,0.19481733879806337
1.085,0.19333043187006885
1.09,0.19185614609274185
1.095,0.19039436023154385
1.1,0.1889449543677507
1.105,0.1875078098828381
1.11,0.1860828094430594
1.115,0.18466983698418635
1.12,0.18326877769646616
1.125,0.18187951800973295
1.1300000000000001,0.18050194557870847
1.135,0.17913594926848556
1.1400000000000001,0.17778141914018264
1.145,0.1764382464367735
1.1500000000000001,0.17510632356908618
1.155,0.17378554410198024
1.16,0.1724758027406875
1.165,0.17117699531731925
1.17,0.1698890187775459
1.175,0.16861177116742962
1.18,0.1673451516204278
1.185,0.16608906034454995
1.19,0.16484339860968353
1.195,0.1636080687350557
1.2,0.16238297407687655
1.205,0.1611680190161096
1.21,0.159963108946414
1.215,0.15876815026222316
1.22,0.1575830503469758
1.225,0.1564077175614936
1.23,0.15524206123250087
1.235,0.15408599164129097
1.24,0.15293942001252656
1.245,0.151802258503187
1.25,0.1506744201916483
1.2550000000000001,0.14955581906690227
1.26,0.14844637001790548
1.2650000000000001,0.1473459888230662
1.27,0.14625459213985822
1.2750000000000001,0.14517209749456875
1.28,0.1440984232721697
1.285,0.1430334887063157
1.29,0.14197721386947362
1.295,0.14092951966316494
1.3,0.1398903278083395
1.305,0.13885956083586265
1.31,0.13783714207712228
1.315,0.13682299565476344
1.32,0.13581704647351828
1.325,0.13481922021117307
1.33,0.1338294433096302
1.335,0.1328476429660925
1.34,0.1318737471243539
1.345,0.1309076844661999
1.35,0.1299493844029146
1.355,0.12899877706689078
1.36,0.1280557933033545
1.365,0.12712036466217996
1.37,0.12619242338981856
1.375,0.12527190242131983
1.3800000000000001,0.12435873537245624
1.385,0.1234528565319463
1.3900000000000001,0.12255420085377017
1.395,0.12166270394958834
1.4000000000000001,0.12077830208125097
1.405,0.11990093215339506
1.41,0.11903053170614468
1.415,0.11816703890789594
1.42,0.1173103925481877
1.425,0.11646053203067103
1.43,0.11561739736615627
1.435,0.11478092916575296
1.44,0.11395106863409095
1.445,0.113127757562629
1.45,0.11231093832304258
1.455,0.11150055386069532
1.46,0.110696547688196
1.465,0.10989886387902471
1.47,0.109107447061248
1.475,0.1083222424113054
1.48,0.10754319564787729
1.485,0.10677025302582449
1.49,0.10600336133020509
1.495,0.10524246787036359
1.5,0.10448752047409635
1.5050000000000001,0.10373846748188077
1.51,0.10299525774118438
1.5150000000000001,0.10225784060084214
1.52,0.10152616590549648
1.5250000000000001,0.10080018399011302
1.53,0.10007984567455906
1.5350000000000001,0.09936510225825217
1.54,0.0986559055148699
1.545,0.09795220768712755
1.55,0.09725396148162015
1.555,0.09656112006372293
1.56,0.09587363705256077
1.565,0.09519146651603283
1.57,0.09451456296590136
1.575,0.09384288135293872
1.58,0.09317637706213623
1.585,0.09251500590796556
1.59,0.09185872412970324
1.595,0.09120748838681195
1.6,0.09056125575436959
1.605,0.08991998371856678
1.61,0.08928363017224622
1.615,0.08865215341050399
1.62,0.08802551212634278
1.625,0.087403665406374
1.6300000000000001,0.08678657272657343
1.635,0.08617419394809177
1.6400000000000001,0.08556648931310853
1.645,0.0849634194407433
1.6500000000000001,0.0843649453230087
1.655,0.08377102832081781
1.6600000000000001,0.08318163016003534
1.665,0.08259671292757963
1.67,0.08201623906756828
1.675,0.08144017137751139
1.68,0.08086847300454898
1.685,0.08030110744173456
1.69,0.07973803852436336
1.695,0.07917923042634094
1.7,0.07862464765659916
1.705,0.0780742550555532
1.71,0.07752801779159688
1.715,0.07698590135764773
1.72,0.07644787156772376
1.725,0.0759138945535664
1.73,0.07538393676130113
1.735,0.07485796494814019
1.74,0.0743359461791196
1.745,0.0738178478238781
1.75,0.07330363755347222
1.7550000000000001,0.07279328333722984
1.76,0.07228675343964161
1.7650000000000001,0.07178401641728192
1.77,0.07128504111577823
1.7750000000000001,0.07078979666680439
1.78,0.07029825248511488
1.7850000000000001,0.06981037826561166
1.79,0.069326143980447
1.795,0.06884551987615659
1.8,0.06836847647082958
1.805,0.06789498455130989
1.81,0.0674250151704296
1.815,0.06695853964427514
1.82,0.06649552954948444
1.825,0.06603595672057481
1.83,0.0655797932473047
1.835,0.06512701147206103
1.84,0.06467758398728056
1.845,0.06423148363289899
1.85,0.06378868349382981
1.855,0.063349156897472
1.86,0.06291287741124621
1.865,0.06247981884015961
1.87,0.06204995522439859
1.875,0.06162326083694649
1.8800000000000001,0.061199710181232464
1.885,0.06077927798880443
1.8900000000000001,0.06036193921702996
1.895,0.05994766904681992
1.9000000000000001,0.059536442880383934
1.905,0.059128236339005796
1.9100000000000001,0.05872302526084599
1.915,0.0583207856987699
1.92,0.057921493918199944
1.925,0.05752512639499004
1.93,0.057131659813327865
1.935,0.05674107106365727
1.94,0.05635333724062499
1.945,0.05596843564105153
1.95,0.05558634376192352
1.955,0.055207039298408936
1.96,0.05483050014189407
1.965,0.05445670437804383
1.97,0.054085630284881135
1.975,0.053717256330890764
1.98,0.05335156117314133
1.985,0.052988523655430914
1.99,0.05262812280645032
1.995,0.0522703378379688
2.0,0.05191514814304005
2.005,0.051562533294225915
2.0100000000000002,0.05121247304184156
2.015,0.050864947312219216
2.02,0.050519936205992065
2.025,0.05017741999639455
2.0300000000000002,0.04983737912758456
2.035,0.049499794212980994
2.04,0.04916464603362192
2.045,0.048831915536539296
2.05,0.04850158383315179
2.055,0.04817363219767464
2.06,0.04784804206554966
2.065,0.047524795031886474
2.07,0.047203872849926685
2.075,0.04688525742952246
2.08,0.04656893083562973
2.085,0.0462548752868208
2.09,0.045943073153810826
2.095,0.045633506958001814
2.1,0.04532615937004086
2.105,0.045021013208394856
2.11,0.04471805143793976
2.115,0.04441725716856669
2.12,0.0441186136538002
2.125,0.04382210428943441
2.13,0.043527712612181246
2.1350000000000002,0.043235422298334825
2.14,0.042945217162449
2.145,0.04265708115602955
2.15,0.04237099836624029
2.1550000000000002,0.04208695301462297
2.16,0.04180492945583004
2.165,0.04152491217637195
2.17,0.04124688579337719
2.1750000000000003,0.04097083505336545
2.18,0.04069674483103346
2.185,0.04042460012805456
