Radial distance r [a.u], theoretical hydrogen ground state wavefunction , calculated hydrogen ground state wavefunction with 100 points
0.1, 0.5104998460601351, 1.4107004466261488
0.2, 0.46191936261680744, 1.276666349124978
0.30000000000000004, 0.41796192341100824, 1.1553671528485336
0.4, 0.3781875876165602, 1.0455928842435973
0.5, 0.34219828031221655, 0.9462485322383353
0.6000000000000001, 0.3096338084140515, 0.8563431253817982
0.7000000000000001, 0.2801682557420114, 0.7749798467904665
0.8, 0.25350672114123995, 0.7013470882973519
0.9, 0.22938236701220158, 0.6347103545677474
1.0, 0.20755374871029736, 0.5744049364242747
1.1, 0.18780239808670982, 0.519829280296811
1.2000000000000002, 0.1699306369857399, 0.47043898765680825
1.3, 0.15375959881538287, 0.425741384579687
1.4000000000000001, 0.13912743839035602, 0.3852906072660581
1.5, 0.1258877121310868, 0.34868315449929776
1.6, 0.1139079124071467, 0.3155538626747351
1.7000000000000002, 0.10306814135634886, 0.2855722632509089
1.8, 0.09325991090664403, 0.25843928628805674
1.9000000000000001, 0.0843850569910314, 0.23388427719126292
2.0, 0.07635475708858216, 0.21166229689992763
2.1, 0.06908864125879556, 0.19155167859265507
2.2, 0.06251398777222124, 0.17335181653540385
2.3000000000000003, 0.0565649952869482, 0.15688116501641733
2.4000000000000004, 0.05118212428665843, 0.1419754274070722
2.5, 0.04631150118913561, 0.12848591728433548
2.6, 0.04190437916134673, 0.1162780752668289
2.7, 0.037916650244752846, 0.10523012676977912
2.8000000000000003, 0.0343084039080347, 0.09523186728980651
2.9000000000000004, 0.031043527609080933, 0.08618356310263108
3.0, 0.028089345368528827, 0.07799495640803022
3.1, 0.02541629073757996, 0.07058436499825954
3.2, 0.022997610887043128, 0.06387786746902659
3.3000000000000003, 0.02080909885602777, 0.057808565845407146
3.4000000000000004, 0.018828851280543207, 0.05231591826731592
3.5, 0.017037049177269795, 0.047345135077993636
3.6, 0.015415759588512469, 0.04284663229142937
3.7, 0.013948756103132709, 0.038775536986993785
3.8000000000000003, 0.01262135645717193, 0.0350912396975423
3.9000000000000004, 0.011420275588818935, 0.03175698932601248
4.0, 0.010333492677046027, 0.028739526549764218
4.1000000000000005, 0.009350130833191818, 0.026008752055834587
4.2, 0.008460348241403702, 0.02353742629771933
4.3, 0.0076552396584368, 0.021300897778725784
4.4, 0.006926747286986432, 0.019276857151496782
4.5, 0.006267580130544393, 0.017445114680826157
4.6000000000000005, 0.005671141022655268, 0.01578739884993745
4.7, 0.005131460600257206, 0.014287174101306373
4.800000000000001, 0.004643137560289983, 0.01292947589397828
4.9, 0.0042012846016385745, 0.011700761432064855
5.0, 0.003801479511380884, 0.010588774575428296
5.1000000000000005, 0.0034397209057944783, 0.009582423585029731
5.2, 0.003112388183163389, 0.00867167048344684
5.300000000000001, 0.0028162052875791905, 0.007847430926929317
5.4, 0.0025482079210723727, 0.007101483590214768
5.5, 0.0023057138759219067, 0.006426388160220139
5.6000000000000005, 0.002086296190218862, 0.005815411120598501
5.7, 0.001887758858015895, 0.005262458586867437
5.800000000000001, 0.0017081148509616132, 0.004762015522145965
5.9, 0.0015455662314529843, 0.004309090727186047
6.0, 0.0013984861582714873, 0.0038991670559847223
6.1000000000000005, 0.0012654026046094, 0.0035281563603904247
6.2, 0.0011449836255307483, 0.003192358714290504
6.300000000000001, 0.0010360240274186938, 0.002888425510658071
6.4, 0.0009374333059927473, 0.002613326063370163
6.5, 0.0008482247321753913, 0.002364317380671618
6.6000000000000005, 0.0007675054765758241, 0.002138916808798589
6.7, 0.0006944676737533276, 0.0019348772729079907
6.800000000000001, 0.0006283803368283997, 0.0017501648683700556
6.9, 0.000568582041520376, 0.001582938578928783
7.0, 0.000514474306390912, 0.0014315319194536666
7.1000000000000005, 0.0004655156030405937, 0.0012944363202071556
7.2, 0.0004212159363107036, 0.0011702860869273453
7.300000000000001, 0.00038113194024697603, 0.0010578447867478661
7.4, 0.00034486244074410954, 0.0009559929242037444
7.5, 0.0003120444404604793, 0.0008637167844448582
7.6000000000000005, 0.00028234948581873565, 0.0007800983324261524
7.7, 0.00025548037973200565, 0.0007043060673822171
7.800000000000001, 0.00023116820715555437, 0.0006355867414281241
7.9, 0.00020916964369463372, 0.0005732578597539514
8.0, 0.0001892645203321541, 0.0005167008876831563
8.1, 0.00017125361990316074, 0.00046535509692269375
8.200000000000001, 0.00015495668326248737, 0.00041871198971617143
8.3, 0.0001402106051906451, 0.0003763102453838661
8.4, 0.00012686780198196268, 0.000337731138952924
8.5, 0.00011479473437725653, 0.00030259438629953375
8.6, 0.00010387057105804065, 0.00027055437448952684
8.700000000000001, 9.398597932607804e-05, 0.00024129673985717452
8.8, 8.504203086498956e-05, 0.00021453525984266886
8.9, 7.694921163241156e-05, 0.00019000902775142268
9.0, 6.962652597337393e-05, 0.00016747988243455755
9.1, 6.300068598856137e-05, 0.00014673006744803481
9.200000000000001, 5.700537804438404e-05, 0.00012756009655348372
9.3, 5.158059908384425e-05, 0.00010978680449999162
9.4, 4.6672056095773625e-05, 9.324156389380234e-05
9.5, 4.22306227321293e-05, 7.776865064074551e-05
9.600000000000001, 3.8211847634990515e-05, 6.322374195119983e-05
9.700000000000001, 3.4575509552428314e-05, 4.9472532244640136e-05
9.8, 3.128521479069691e-05, 3.6389453493948496e-05
9.9, 2.8308032973914612e-05, 2.3856487620852686e-05
10.0, 2.5614167465793717e-05, 1.1762059504003684e-05
