Radial Distance r (a.u.),Computed Wavefunction
0.005,1.3047059449381209
0.01,1.2917345448599873
0.015,1.278899457874479
0.02,1.2661995336321057
0.025,1.2536336140583837
0.03,1.2412005343347898
0.035,1.2288991238351046
0.04,1.2167282070186127
0.045,1.2046866042817412
0.05,1.1927731327697642
0.055,1.1809866071499517
0.06,1.1693258403476894
0.065,1.1577896442468731
0.07,1.1463768303560604
0.075,1.1350862104414765
0.08,1.1239165971283456
0.085,1.112866804471714
0.09,1.1019356484978093
0.095,1.0911219477172984
0.1,1.0804245236113885
0.105,1.0698422010918855
0.11,1.0593738089362845
0.115,1.0490181801988057
0.12,1.038774152598432
0.125,1.0286405688848077
0.13,1.018616277182914
0.135,1.0087001313174133
0.14,0.998890991117456
0.145,0.9891877227028257
0.15,0.9795891987520512
0.155,0.9700942987534773
0.16,0.9607019092397563
0.165,0.9514109240066428
0.17,0.9422202443166745
0.17500000000000002,0.933128779088427
0.18,0.9241354450719197
0.185,0.9152391670108466
0.19,0.9064388777921303
0.195,0.8977335185833838
0.2,0.8891220389588744
0.20500000000000002,0.8806033970143993
0.21,0.8721765594716744
0.215,0.8638405017726082
0.22,0.8555942081640387
0.225,0.8474366717732621
0.23,0.8393668946748596
0.23500000000000001,0.8313838879491752
0.24,0.8234866717329047
0.245,0.8156742752620755
0.25,0.8079457369078915
0.255,0.8003001042056674
0.26,0.7927364338773364
0.265,0.7852537918477012
0.27,0.7778512532548585
0.275,0.7705279024549908
0.28,0.76328283302192
0.28500000000000003,0.7561151477415867
0.29,0.749023958601795
0.295,0.7420083867774363
0.3,0.735067562611463
0.305,0.7282006255917887
0.31,0.7214067243243951
0.315,0.7146850165028492
0.32,0.7080346688743819
0.325,0.7014548572027925
0.33,0.694944766228331
0.335,0.6885035896247251
0.34,0.6821305299535637
0.34500000000000003,0.6758247986161504
0.35000000000000003,0.6695856158030481
0.355,0.6634122104413791
0.36,0.6573038201401267
0.365,0.6512596911334858
0.37,0.6452790782224405
0.375,0.6393612447147039
0.38,0.6335054623630921
0.385,0.6277110113024993
0.39,0.6219771799855599
0.395,0.6163032651170962
0.4,0.6106885715874701
0.405,0.6051324124049172
0.41000000000000003,0.599634108626963
0.41500000000000004,0.5941929892910129
0.42,0.5888083913441907
0.425,0.5834796595725025
0.43,0.5782061465294169
0.435,0.572987212463903
0.44,0.5678222252480412
0.445,0.5627105603042223
0.45,0.5576516005320304
0.455,0.5526447362348543
0.46,0.5476893650462809
0.465,0.5427848918563282
0.47000000000000003,0.5379307287376024
0.47500000000000003,0.5331262948713358
0.48,0.5283710164734414
0.485,0.5236643267206121
0.49,0.5190056656764462
0.495,0.5143944802177116
0.5,0.5098302239607302
0.505,0.505312357187966
0.51,0.5008403467747948
0.515,0.496413666116532
0.52,0.49203179505571115
0.525,0.4876942198096946
0.53,0.4834004328985762
0.535,0.4791499330734272
0.54,0.47494222524494106
0.545,0.47077682041244423
0.55,0.4666532355933056
0.555,0.46257099375283295
0.56,0.45852962373453066
0.5650000000000001,0.45452866019090815
0.5700000000000001,0.45056764351469375
0.5750000000000001,0.4466461197705894
0.58,0.442763640627493
0.585,0.43891976329127586
0.59,0.43511405043804796
0.595,0.4313460701480059
0.6,0.4276153958397772
